"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,";"buzzardLabel";57;"";;;
2;"D6,D17,D8,D7,D10,D6,D5,D13,D11,D4,D18,D12,D16";"SMA_DIODE";13;"SMA";;;
3;"D19,D14,D9,D3,D15,D1,D2";"THT LED 5mm RED";7;"THT_LED_5mmRED";;;
4;"R6,R4,R3,R12,R9";"0603R";5;"10k";;;
5;"C2";"0603C";1;"10n";;;
6;"R14,R11,R13,R5,R8,R7,R10";"THT OTPORNIK";7;"330R";;;
7;"REF**";"Logo-Back-SolderedFULL-20mm";1;"Logo-Front-SolderedFULL-20mm";;;
8;"S1";"SS-12D02-VG4";1;"SS-12D02-VG4";;;
9;"Q3,Q2,Q4,Q1";"SOT-23-3";4;"NMOS-SOT-23-3";;;
10;"FD1";"FIDUCIAL_23";1;"FIDUCIAL";;;
11;"S2";"PUSH BUTTON 12MM BLUE";1;"12MM_PUSHBUTTON_BLUE";;;
12;"H1";"HOLE_5mm";1;"HOLE_5mm";;;
13;"G***";"Logo-Front-Soldered-6mm";1;"LOGO";;;
14;"U1";"DIP8";1;"NE555";;;
15;"R2";"0603R";1;"220R";;;
16;"C1";"0603C";1;"220n";;;
17;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
18;"G***";"Symbol-Front-Soldering";1;"LOGO";;;
19;"U2";"SOP-16";1;"CD4017B";;;
20;"R1";"0603R";1;"4k7";;;
21;"K1";"CR2034_HOLDER";1;"CR2032_HOLDER";;;
22;"REF**";"Symbol-Front-CR2032";1;"Symbol-Front-CR2032";;;
23;"Ref**";"Version1.0.0.";1;"Val**";;;
